style,budget,images,psnr,ssim,de,de99,deSal,cov,bytes,np,msTotal
voronoi,16,2,17.0015,0.20329999999999998,14.2605,32.281,,0.2405,93,16,1511.4499999999998
voronoi,32,2,17.1435,0.2007,13.873000000000001,33.56,,0.2903,173,32,1363.06
voronoi,64,2,17.48,0.20185,12.988,33.710499999999996,,0.4243,333,64,1542.48
voronoi,128,2,17.9645,0.20500000000000002,11.741,37.2525,,0.59075,653,128,1532.7
voronoi,256,2,18.3535,0.2092,10.695,36.641999999999996,,0.67115,1293,256,1735.815
voronoi,512,2,18.7365,0.21465,9.870999999999999,36.402,,0.67335,2565.5,510.5,1886.87
voronoi,1024,2,19.28,0.23249999999999998,8.767,35.006,,0.70505,5108,1019,2835.495
voronoi,2048,2,19.75,0.27125,7.9990000000000006,34.5485,,0.71045,10165.5,2030.5,3323.16
delaunay,16,2,16.928,0.20395,14.4905,30.494500000000002,,0.06839999999999999,364,38,1542.98
delaunay,32,2,17.1645,0.20434999999999998,13.8525,31.082500000000003,,0.20445,636,70,1503.955
delaunay,64,2,17.436500000000002,0.20575,13.1715,32.6345,,0.29564999999999997,1180,134,1610.58
delaunay,128,2,17.863,0.20755,12.178,33.7325,,0.46365,2268,262,1692.1100000000001
delaunay,256,2,18.393500000000003,0.2141,10.9195,33.6375,,0.53545,4441,517.5,2129.8
delaunay,512,2,18.897,0.22405,9.9215,33.5655,,0.5967,8784.5,1028.5,2867.6549999999997
delaunay,1024,2,19.506,0.24765,8.707,33.259,,0.65395,17397.5,2041.5,4819.545
delaunay,2048,2,20.034,0.28405,7.808,31.778,,0.6767,34616,4067.5,9522.310000000001
voro-fan,16,2,16.8365,0.20274999999999999,14.433499999999999,31.4625,,0.1674,756,82.5,1487.22
voro-fan,32,2,17.094,0.20279999999999998,13.886,33.679500000000004,,0.27775,1532.5,171.5,1619.28
voro-fan,64,2,17.3015,0.2027,13.467500000000001,35.539,,0.3188,3074,350.5,1902
voro-fan,128,2,17.712,0.20345000000000002,12.353,34.909,,0.4842,6265.5,724.5,2509.3
voro-fan,256,2,18.1085,0.20555,11.309000000000001,35.7785,,0.56845,12650,1479,3510.04
voro-fan,512,2,18.5595,0.21325,10.327,36.0985,,0.61015,25447,2986,7108.73
voro-fan,1024,2,19.076999999999998,0.2313,9.2385,35.7265,,0.6682,51052,6006,13406.074999999999
voro-fan,2048,2,19.657,0.2599,8.2555,33.038,,0.68865,102207.5,12046.5,23563.68
cell-tris,16,2,16.616,0.1968,15.071,31.8,,0.04095,432,16,1523.6999999999998
cell-tris,32,2,16.6925,0.19455,14.8995,30.857,,0.1143,848,32,1506.165
cell-tris,64,2,16.743499999999997,0.1896,14.743500000000001,32,,0.17525000000000002,1680,64,1555.1100000000001
cell-tris,128,2,16.8875,0.17515,14.238,33.5895,,0.2551,3344,128,1846.845
cell-tris,256,2,17.09,0.16499999999999998,13.6475,34.14149999999999,,0.29905,6659,255.5,2075.48
cell-tris,512,2,17.307499999999997,0.15510000000000002,13.061,33.799,,0.34225,13315,511.5,2776.315
cell-tris,1024,2,17.508499999999998,0.14205,12.4915,33.149,,0.3651,26588,1022,4295.67
cell-tris,2048,2,17.749,0.13915,11.835999999999999,31.6045,,0.38105,52822,2031,8238.07
tri-gauss,16,2,16.829,0.2016,14.753499999999999,31.850499999999997,,0.15935,141,16,1520.075
tri-gauss,32,2,17.0565,0.2003,14.153500000000001,33.653,,0.3468,269,32,1526.705
tri-gauss,64,2,17.363,0.1964,13.256,33.411500000000004,,0.3805,525,64,1757.96
tri-gauss,128,2,17.749499999999998,0.19774999999999998,12.256499999999999,35.89,,0.5331,1037,128,2114.68
tri-gauss,256,2,18.1635,0.20095,11.204,35.021,,0.60875,2057,255.5,2659.115
tri-gauss,512,2,18.524,0.19995000000000002,10.337,35.9105,,0.6595500000000001,4093,510,3927.2799999999997
tri-gauss,1024,2,19.066499999999998,0.22075,9.203,36.327,,0.68235,8181,1021,7007.285
tri-gauss,2048,2,19.421,0.24919999999999998,8.4715,36.094,,0.7141,16305,2036.5,13578.425
